Bureau,Gender,Grade,Title,Name,YearsService
Allowances (A/OPR/ALS),female,GS-8,Team Member,Wendy Sanders,20
"Democracy, Human Rights, and Labor (DRL)",male,FS 5,Analyst,Leroy Stump,14
Energy Resources (ENR),male,GS 12,Team Member,Benjamin Hale,25
International Organization Affairs (IO),female,SFS-3,Executive,Margaret Scott  ,21
Inspector General (OIG),male,FS-7,Team Member,Robert Curry     ,16
Energy Resources (ENR),female,FS2,Manager,Kazuko Moreno ,16
Oceans and International Environmental and Scientific Affairs(OES),male,FS-1,Manager, James Vroom     ,10
Foreign Assistance (F),male,FS-5,Team Member,  Grotts   ,25
Legislative Affairs (H),female,FS3,Manager,Lanette Jackson,21
Science & Technology Adviser (STAS),female,FS2,Manager,Betty Redman,4
Intelligence and Research (INR),female,GS-13,Manager,Hannah Lever,20
Chief Information Officer (CIO),male,N/A,Manager,Leslie Lievano     ,15
International Organization Affairs (IO),male,N/A,Team Member,Bradley Williams,15
Mission to the United Nations (USUN),female,GS-13,Manager,Tracy Watson,15
Energy Resources (ENR),female,SFS-1,Executive,   Nina Bean,25
"Arms Control, Verification and Compliance (AVC)",female,N/A,Team Member,     Plemons ,21
Human Resources (DGHR),male,FS-5,Team Member,   Cory Batarse,9
International Security and Nonproliferation (ISN),male,GS-11,Team Member,  Kenneth Cooper,12
Trafficking in Persons (TIP),female,FS7,Team Member,  Della Dixon,16
Medical Services (MED),male,N/A,Team Member,John Graham,23
Medical Services (MED),male,GS-11,Analyst,Venzke,25
Near Eastern Affairs (NEA),male,FS-3,Manager,Shawn Irwin,6
International Organization Affairs (IO),female,GS-13,Team Member,Yvonne Tirabassi,7
Foreign Missions (OFM),male,N/A,Team Member,Dennis Limon,2
Oceans and International Environmental and Scientific Affairs(OES),male,FS-3,Manager,  Anthony Pritchett,15
"Democracy, Human Rights, and Labor (DRL)",female,N/A,Team Member,Mildred Delcolle,12
International Information Programs (IIP),male,GS-13,Team Member,Dennis Culver,22
Intelligence and Research (INR),female,FS 1,Manager,   Jan Richardson     ,15
Energy Resources (ENR),female,FS-1,Manager,Amber Wollenburg,10
Trafficking in Persons (TIP),female,FS-4,Team Member,Lisa Ebersole,5
International Narcotics and Law Enforcement Affairs (INL),male,FS-2,Manager,Terry Duke,18
Protocol (S/CPR),male,FS-8,Team Member,Robert Jones,20
International Security and Nonproliferation (ISN),female,FS-7,Team Member,Dawn Nowell   ,22
Energy Resources (ENR),male,N/A,Analyst,Larry Shultz,11
Policy Planning Staff (S/P),male,GS7,Team Member,Gordon Whaley,15
Energy Resources (ENR),male,FS 2,Manager,Marcus Gribble   ,13
Inspector General (OIG),female,FS 8,Analyst,Jane Mills,20
Oceans and International Environmental and Scientific Affairs(OES),female,N/A,Manager,Lora Patel,11
Director General of the Foreign Service and Director of Human Resources (DGHR),male,FS-7,Team Member,   Barry Cohrs,15
Overseas Buildings Operations (OBO),female,FS-4,Team Member,Elizabeth Wilde    ,21
Intelligence and Research (INR),male,FS-5,Team Member,    John Ernst,16
Protocol (S/CPR),male,FS2,Manager,  Earnest Franklin,21
Budget and Planning (BP),female,N/A,Team Member,    Beverly Dolphin,25
Legal Adviser (L),male,N/A,Team Member,Charles Ramos,7
International Information Programs (IIP),male,FS-2,Manager,John Baldwin,1
Legislative Affairs (H),male,FS5,Team Member, Sammy Sherwood,14
International Narcotics and Law Enforcement Affairs (INL),male,N/A,Team Member,  William Cater   ,18
Intelligence and Research (INR),male,SES-1,Executive,David Harrison,18
"Democracy, Human Rights, and Labor (DRL)",male,GS-7,Team Member,Charles Stevens,10
Director General of the Foreign Service and Director of Human Resources (DGHR),female,FS-4,Team Member,Sheila Golka     ,4
International Organization Affairs (IO),female,GS-7,Team Member,     Lisa Rich,21
Policy Planning Staff (S/P),male,FS-9,Team Member,John Henderson,12
Counterterrorism (CT),female,FS4,Team Member,Brunson    ,4
Protocol (S/CPR),male,GS-13,Team Member,Allen Clyde,21
Human Resources (DGHR),female,GS13,Team Member,  Paula Green   ,14
Director General of the Foreign Service and Director of Human Resources (DGHR),female,N/A,Team Member,Riley,4
"Population, Refugees, and Migration (PRM)",male,N/A,Manager,Raymond Hollaway,15
Counterterrorism (CT),female,FS-4,Analyst, Marci Leonard,15
Counterterrorism (CT),male,GS-9,Team Member,Howard Allen,13
Director General of the Foreign Service and Director of Human Resources (DGHR),female,FS-6,Team Member,  Kim Kingsley,22
Conflict and Stabilization Operations (CSO),female,FS-7,Team Member,Stacy Rubie,2
Global Youth Issues (GYI),male,FS-2,Manager,Kendall Bicknell   ,3
International Organization Affairs (IO),female,FS-9,Team Member,Cecil Hurley ,16
Economic and Business Affairs (EB),female,FS-3,Mgmt,Elizabeth Hatherly,13
Conflict and Stabilization Operations (CSO),male,FS-3,Mgmt,Todd Abner   ,12
Budget and Planning (BP),male,GS-9,Team Member,Herbert Goodman ,19
Administration (A),male,FS9,Team Member,Carl Boulanger,24
Legislative Affairs (H),female,GS-14,Manager,Gibbons    ,2
Human Resources (DGHR),male,GS13,Team Member,  Dan Mccarroll    ,12
Global Youth Issues (GYI),male,GS-8,Team Member,  Jeffery Garza     ,11
Counterterrorism (CT),female,FS-3,Manager,Mary Connors,18
Global Youth Issues (GYI),male,GS-7,Team Member,     Stephen Mccarthy,3
Conflict and Stabilization Operations (CSO),female,FS-7,Team Member,Cheryl Alonso,24
Foreign Missions (OFM),female,FS-4,Team Member,   Shelia Baker,12
Policy Planning Staff (S/P),male,FS 1,Manager,  Neal,11
Science & Technology Adviser (STAS),female,GS-7,Team Member,Rosa Cadena,14
Energy Resources (ENR),female,GS13,Manager,Alison Earvin,10
Protocol (S/CPR),female,FS-7,Team Member,Hilda Brough,18
Counterterrorism (CT),male,FS-8,Team Member, Norman Mitchell,6
Trafficking in Persons (TIP),male,GS-15,Manager,Gregory Waller    ,8
Budget and Planning (BP),female,N/A,Team Member,   Judith Sandiford    ,14
Human Resources (DGHR),female,N/A,Team Member,Tayna Krefft,17
International Information Programs (IIP),male,GS-9,Analyst,Bernard Harrison    ,22
Administration (A),female,N/A,Manager,   Belva Gray,16
Medical Services (MED),female,N/A,Team Member,Allena Cartagena  ,1
Protocol (S/CPR),male,FS-2,Mgmt,  Michael Clark    ,13
International Security and Nonproliferation (ISN),female,N/A,Team Member,     Pansy Ashburn    ,11
Overseas Buildings Operations (OBO),male,GS-14,Manager,Robert Herrmann,10
East Asian and Pacific Affairs (EAP),male,FS-4,Team Member,Jerald Timberlake,12
Legislative Affairs (H),male,FS-1,Manager,Bennie Thompson,6
Science & Technology Adviser (STAS),female,GS-11,Team Member,Carole Casey,1
Counterterrorism (CT),female,FS-4,Team Member,Hilda Workman    ,18
"Democracy, Human Rights, and Labor (DRL)",female,FS6,Team Member,Nadine Hering,25
"Democracy, Human Rights, and Labor (DRL)",male,GS-13,Team Member,   Andrew Salmon,8
Human Resources (DGHR),male,FS-7,Team Member,Maurice Milligan,22
International Narcotics and Law Enforcement Affairs (INL),female,GS-13,Manager,Vanessa Webster     ,8
Overseas Buildings Operations (OBO),male,FS-5,Team Member,Tony Prewett,14
Director General of the Foreign Service and Director of Human Resources (DGHR),male,FS-2,Manager,Robert Oshields,20
Executive Secretariat (S/ES),male,N/A,Team Member,    Dexter Hicks     ,20
Legislative Affairs (H),female,GS-15,Mgmt,    Louise Collazo,11
Director General of the Foreign Service and Director of Human Resources (DGHR),male,GS-11,Team Member,Bryan Lowe,9
Science & Technology Adviser (STAS),male,GS-15,Manager,Sylvester Owens,15
Chief Information Officer (CIO),male,FS 8,Team Member,James Bullins,23
Quadrennial Diplomacy and Development Review (QDDR),female,N/A,Manager,Marguerite Mata,1
Oceans and International Environmental and Scientific Affairs(OES),female,SES-5,Executive,Rosamond Renfro,18
Quadrennial Diplomacy and Development Review (QDDR),male,FS-3,Manager,Philip Barbera    ,11
Allowances (A/OPR/ALS),female,FS-3,Manager,Brenda Graham ,14
"Democracy, Human Rights, and Labor (DRL)",male,FS8,Team Member,Fulgham,17
Energy Resources (ENR),female,FS-2,Manager,Amy Webber,24
Budget and Planning (BP),male,FS 8,Team Member,Shane Clark,25
Trafficking in Persons (TIP),male,FS-3,Mgmt,   Joseph Lapalme,4
Comptroller and Global Financial Services (CGFS),male,N/A,Team Member,Joshua Lee   ,23
Oceans and International Environmental and Scientific Affairs(OES),male,FS-7,Team Member,Travis Neely,22
Economic and Business Affairs (EB),female,N/A,Manager,Samantha Saldana,8
"Democracy, Human Rights, and Labor (DRL)",male,FS-9,Team Member,    Alexander Stalvey  ,19
Medical Services (MED),female,GS13,Team Member,Lois Hardcastle,19
Global Criminal Justice (GCJ),male,N/A,Manager,Michael Atwell,16
Energy Resources (ENR),male,FS-3,Manager,Obrien,9
Counterterrorism (CT),male,FS 5,Team Member,Timothy Fiore,19
International Narcotics and Law Enforcement Affairs (INL),male,GS-13,Team Member, Campbell,17
Energy Resources (ENR),female,FS 3,Manager,   Edna Fitzgerald,23
Director General of the Foreign Service and Director of Human Resources (DGHR),male,FS-1,Manager, Stephen Chandler,17
Public Affairs (PA),female,N/A,Team Member,Dana Guzman,13
Intelligence and Research (INR),male,N/A,Team Member, David Mcqueen   ,6
Policy Planning Staff (S/P),male,GS 13,Manager,Charles Mccutchan,13
International Information Programs (IIP),male,FS-6,Team Member,   Joshua Sanner,12
Energy Resources (ENR),female,GS-14,Manager,Veronica Neill,13
Inspector General (OIG),female,GS-14,Manager,    Andrea Stamper,18
South and Central Asian Affairs (SCA),male,FS-2,Mgmt,    James Salmon,17
Medical Services (MED),male,N/A,Team Member,David Sandidge,24
Trafficking in Persons (TIP),male,FS-9,Team Member,  Sal Pointer,24
International Information Programs (IIP),male,GS-13,Mgmt,Kevin Fisher  ,4
Foreign Missions (OFM),male,N/A,Team Member,Daniel Kimbrell     ,24
Budget and Planning (BP),female,FS-2,Manager,Matilda Stewart,2
Director General of the Foreign Service and Director of Human Resources (DGHR),female,FS-3,Manager, Karon Fletcher ,11
Director General of the Foreign Service and Director of Human Resources (DGHR),female,GS-8,Team Member,Betty Rothrock,14
Economic and Business Affairs (EB),male,GS-14,Manager, Andrew Reynolds   ,22
Foreign Missions (OFM),male,FS-3,Manager,Waldo Johnson,4
Diplomatic Security (DS),female,N/A,Team Member,Katie Carbone ,6
Foreign Missions (OFM),male,GS-13,Manager,  Dennis Wright   ,7
"Arms Control, Verification and Compliance (AVC)",female,GS-9,Team Member,Margaret Lajara,7
Inspector General (OIG),female,FS4,Team Member,    Elmira Cockerham,19
Conflict and Stabilization Operations (CSO),male,FS-3,Mgmt,Steven Martin,5
Oceans and International Environmental and Scientific Affairs(OES),male,N/A,Analyst,Paul Wilhelm    ,20
Conflict and Stabilization Operations (CSO),male,FS-5,Analyst,Tim Walker,2
Educational and Cultural Affairs (ECA),male,N/A,Team Member,    Richard Adams  ,1
International Organization Affairs (IO),female,N/A,Manager,Victoria Clements,4
"Policy, Planning, and Resources for Public Diplomacy and Public Affairs (PPR)",female,N/A,Team Member,Dorothy Freitas,16
Oceans and International Environmental and Scientific Affairs(OES),female,GS-10,Team Member,Susan Johnson    ,6
Budget and Planning (BP),male,N/A,Team Member,   Rudolph Lockett,6
Legislative Affairs (H),male,N/A,Team Member, Schmidt,10
Director General of the Foreign Service and Director of Human Resources (DGHR),male,FS-3,Mgmt,  Carl Fisher ,2
International Narcotics and Law Enforcement Affairs (INL),female,GS-8,Team Member,  Johnnie Robinson     ,18
Mission to the United Nations (USUN),female,FS-3,Manager,Michelle Park,22
Near Eastern Affairs (NEA),male,FS-2,Manager,Michael Webber,22
Budget and Planning (BP),female,N/A,Team Member,Tracey Bryson,11
Energy Resources (ENR),male,N/A,Manager,Walter Phares  ,18
Inspector General (OIG),female,GS-14,Manager,Carolyn Irland,12
Director General of the Foreign Service and Director of Human Resources (DGHR),female,FS-1,Manager,Esther Miller    ,24
Human Resources (DGHR),male,GS-12,Team Member,Kenneth Woolsey,18
International Information Programs (IIP),female,FS-5,Team Member,Mullikin,15
Foreign Service Institute (FSI),male,FS6,Team Member,   Fredrick Powers,1
Overseas Buildings Operations (OBO),female,GS-8,Team Member,    Catherine Crosslin,24
Conflict and Stabilization Operations (CSO),female,FS-8,Team Member,Dawna Langeness,14
Administration (A),male,FS-4,Team Member,Robert Thomas     ,12
Foreign Missions (OFM),female,N/A,Analyst,Donna Bell,7
Conflict and Stabilization Operations (CSO),male,GS-12,Team Member,Mcdonnell,1
Medical Services (MED),male,GS-8,Team Member,     Benjamin Erickson,23
Global Women's Issues (S/GWI),female,N/A,Team Member,April Wallace,10
Energy Resources (ENR),male,GS 14,Manager,  Eugene Vanmeter,22
International Organization Affairs (IO),female,GS-15,Manager, Emma Rosian     ,11
Mission to the United Nations (USUN),female,N/A,Team Member,Lise Bailey,8
Public Affairs (PA),male,FS9,Team Member,   Edgar Lacy,8
International Narcotics and Law Enforcement Affairs (INL),female,FS-9,Team Member,Joann Campbell ,6
Public Affairs (PA),female,GS-15,Manager,Karen Rawls,2
Mission to the United Nations (USUN),male,N/A,Manager,Jason Lamb  ,20
Near Eastern Affairs (NEA),female,GS-12,Team Member,Gutierrez,15
Oceans and International Environmental and Scientific Affairs(OES),female,GS-14,Mgmt,   Lisa Newton   ,14
Information Resource Management (IRM),female,N/A,Team Member,Anderson   ,9
Inspector General (OIG),male,FS-1,Manager,  Dennis Reyes   ,4
Policy Planning Staff (S/P),male,N/A,Manager,Watkins   ,9
Conflict and Stabilization Operations (CSO),male,FS-9,Team Member,Yamazaki,15
Policy Planning Staff (S/P),female,N/A,Team Member,Lorna Floyd,4
Intelligence and Research (INR),male,SFS 2,Executive,  Gregory Watkins     ,18
Foreign Assistance (F),female,GS 14,Manager,Kasie Hood,17
Energy Resources (ENR),male,N/A,Manager,Joseph Duguay  ,17
Medical Services (MED),male,FS-1,Manager, Albert Hui     ,10
Economic and Business Affairs (EB),male,N/A,Team Member,James Acker ,19
Near Eastern Affairs (NEA),male,SFS-3,Executive,Troy Morris  ,22
European and Eurasian Affairs (EUR),female,N/A,Mgmt,Nadine Pratt ,2
Policy Planning Staff (S/P),female,FS-4,Team Member,Lucy Smith,24
Energy Resources (ENR),female,FS2,Manager,  Elizabeth Buskey   ,16
Foreign Missions (OFM),male,GS-14,Manager, William Mcdaniel,11
Diplomatic Security (DS),male,N/A,Team Member,Thomas Aldrete,10
Mission to the United Nations (USUN),male,FS-3,Manager,Kyle Steele ,16
Conflict and Stabilization Operations (CSO),female,GS-11,Team Member,Kathleen Head,13
Conflict and Stabilization Operations (CSO),female,FS-3,Manager,    Jeanette Haskins,12
"Arms Control, Verification and Compliance (AVC)",male,FS4,Team Member,Joe Jacoby,21
Global Youth Issues (GYI),male,FS-9,Team Member,     Manuel Querry,4
Science & Technology Adviser (STAS),male,FS-9,Team Member,    Michael Roland   ,25
Quadrennial Diplomacy and Development Review (QDDR),female,N/A,Team Member,Doris Oden,21
Conflict and Stabilization Operations (CSO),male,GS-7,Team Member,Edward Macpartland,7
International Security and Nonproliferation (ISN),female,GS7,Team Member,Theresa Austin,21
"Arms Control, Verification and Compliance (AVC)",male,FS-5,Team Member,Cedric Galvez     ,16
Energy Resources (ENR),female,FS-4,Team Member,   Therese Martich,12
Consular Affairs (CA),female,GS-9,Team Member,   Rae Corral  ,2
Human Resources (DGHR),female,GS-11,Analyst,Kathryn Hatala,22
Trafficking in Persons (TIP),female,FS-9,Team Member,Zelda Butler,22
Public Affairs (PA),male,FS-3,Manager,Michael Howard   ,3
Director General of the Foreign Service and Director of Human Resources (DGHR),male,FS-1,Manager,David Belanger   ,12
Human Resources (DGHR),female,FS 9,Team Member,     Beatrice Waller,11
Protocol (S/CPR),male,FS-7,Team Member,Timothy Lenters,3
Foreign Missions (OFM),male,GS-10,Team Member,Jimmie Lam,5
Medical Services (MED),male,FS 6,Team Member, Hampton,24
Foreign Assistance (F),male,GS 7,Team Member,Thomas Brokaw,6
Medical Services (MED),female,FS-4,Team Member, Greta Hughes    ,23
Medical Services (MED),female,FS-4,Team Member,Ruby Sawyers  ,19
Inspector General (OIG),female,FS-2,Manager,June Massey    ,10
Political-Military Affairs (PM),female,GS-7,Team Member,Christina Mitchell,5
Quadrennial Diplomacy and Development Review (QDDR),male,GS-15,Manager,  Richard Perez,10
Director General of the Foreign Service and Director of Human Resources (DGHR),male,N/A,Manager,Brandon Caulder,25
Comptroller and Global Financial Services (CGFS),female,N/A,Team Member,   Stacey Barger,19
Mission to the United Nations (USUN),male,FS-2,Mgmt,Joseph Ingram,11
East Asian and Pacific Affairs (EAP),male,GS-15,Manager,     William Garcia   ,1
Energy Resources (ENR),female,FS3,Manager,Camille Buckley ,13
Legal Adviser (L),female,FS-8,Team Member,  Lily Hamed  ,25
Counterterrorism (CT),female,FS-8,Team Member,Leslie Yates,12
Policy Planning Staff (S/P),male,GS-7,Team Member,David Brittain,6
