Bureau,Gender,Grade,Name,Skills,YearsService
Mission to the United Nations (USUN),female,N/A, Raquel Todaro,"economics, Powerpoint, Editing, Research",12
European and Eurasian Affairs (EUR),female,N/A,Mabel Cale,"spanish, Sharepoint, chinese, Portuguese, Writing, Communications, human resources, leadership, Training, Design",16
Foreign Missions (OFM),male,GS-10,Ryan Bloomgren,"Sharepoint, German, SEO, Data Analysis",15
"Democracy, Human Rights, and Labor (DRL)",female,GS-14,Sasha Weems    ,"interagency, SEO, budget, Graphics, Climatology",11
"Population, Refugees, and Migration (PRM)",female,FS-8,Kathleen Combs,"marketing, Powerpoint, Data Analysis, Editing, Excel, Training, tourism, Government, Web Development, Sharepoint, visualization",7
Overseas Buildings Operations (OBO),female,FS1,Charlotte Jeffrey    ,"Disease Response, finance, German, cloud computing, Engineering, communications, French",12
Foreign Missions (OFM),female,FS-5,Perez,"Interagency, administration, it, Human Resources",16
Global Criminal Justice (GCJ),female,FS-2,Marie Zeigler,"Training, Portuguese, Foreign Policy, Marketing, Engineering, german",17
International Narcotics and Law Enforcement Affairs (INL),male,GS-11,Charles Bergman,"Data Analysis, Communications, Japanese, Research, finance, sharepoint, Design, Spanish, Hydrology, government",11
East Asian and Pacific Affairs (EAP),female,FS9,  Ruth Dixon,"social media, Design, climatology, Planning, Economics",21
International Narcotics and Law Enforcement Affairs (INL),male,N/A,Ernest Chavers,"budget, German, SEO, Visualization, Government, portuguese, IT, Data Analysis",9
Educational and Cultural Affairs (ECA),female,GS-13,Diane Prendergast   ,"management, Budget, sharepoint, Outlook, Social Media, Portuguese",18
"Arms Control, Verification and Compliance (AVC)",female,GS-14,Kathryn Ellis,"network security, Visualization, Spanish, Writing, Portuguese, operations, cloud computing, French",17
Global AIDS Coordinator (S/GAC),female,FS-2,Maria Shiffer,,24
Legal Adviser (L),male,GS-11,Felix Baker,"social media, Visualization",11
International Information Programs (IIP),female,GS-14,Denise Coe,"Web Development, Hydrology, Economics, portuguese",20
Information Resource Management (IRM),male,FS-8,Steven Tidwell ,"Cloud Computing, Outlook, Writing, Healthcare, chinese, Disaster Response, Marketing, IT, Operations, French, disease response",25
Consular Affairs (CA),male,N/A,David Stephens  ,"Economics, healthcare, visualization, engineering, network security, IT, Tourism, french, Management, Sharepoint, Excel",22
International Security and Nonproliferation (ISN),male,FS-5,Gerardo Magee,"hydrology, education, Sharepoint, Planning, Training, Marketing",4
East Asian and Pacific Affairs (EAP),female,FS7,Roxie Towers     ,"Outlook, communications, Operations",8
International Security and Nonproliferation (ISN),female,FS-9,   Joy Sims,"French, Finance, Network Security, Foreign Policy, spanish, interagency, Writing, cloud computing",15
Global Criminal Justice (GCJ),male,FS-3,  Carlos Mccloskey,editing,11
Medical Services (MED),male,GS-14,Michael Macchiaroli,"management, Cloud Computing, Sharepoint",23
Economic and Business Affairs (EB),male,GS-10,Steven Massey,"Portuguese, Training, disaster response, german, data analysis, social media, Engineering",8
Information Resource Management (IRM),female,GS 7,Lourdes Chugg     ,"Disaster Response, outlook, Tourism, Chinese, Administration, communications, Social Media, Leadership, Web Development",18
International Security and Nonproliferation (ISN),female,FS1,Bonnie Turney,"Visualization, Healthcare, Human Resources, Powerpoint, foreign policy, French, Network Security, excel",10
Conflict and Stabilization Operations (CSO),female,GS-12,Jessie Gray   ,"training, engineering, Spanish, outlook, Sharepoint, economics, french",23
"Population, Refugees, and Migration (PRM)",male,GS-15,   Kerry Ward,"Disease Response, outlook, data analysis, Economics, IT, Cloud Computing, Tourism",6
Political-Military Affairs (PM),female,N/A,Katherine Lo     ,"Interagency, disease response, education, Visualization",22
Director General of the Foreign Service and Director of Human Resources (DGHR),female,GS-10,Lenora Hooker     ,"administration, editing, budget, Research, Communications, Disaster Response, social media, tourism",20
"Population, Refugees, and Migration (PRM)",male,GS7,   Matthew Walker,"Budget, disease response, Chinese",10
Chief Information Officer (CIO),female,GS-13,Rhonda Wilson    ,"engineering, SEO, Government, Communications, Portuguese, Administration, Writing, it",6
Public Affairs (PA),male,N/A,     Toban   ,"spanish, Economics, disease response, Sharepoint, education, Training, Engineering, Management",16
African Affairs (AF),female,GS-13,     Betty Jackson,Chinese,23
Global Women's Issues (S/GWI),male,GS-8,    Leo Ware  ,"Healthcare, Communications, Cloud Computing, German, Visualization",25
Foreign Service Institute (FSI),male,N/A,Floyd Bunch,"Tourism, Disease Response, Powerpoint, design, IT, Network Security, Engineering, Visualization, Administration, Disaster Response, Climatology, Marketing",19
"Arms Control, Verification and Compliance (AVC)",female,GS-10,Holbrook,"budget, portuguese, Sharepoint, email, Graphics, social media, it, Powerpoint, marketing, Finance, German",13
"Arms Control, Verification and Compliance (AVC)",male,N/A,  Gentry,,19
Overseas Buildings Operations (OBO),male,N/A,Sanchez    ,"sharepoint, hydrology, Operations, Design, Web Development, Cloud Computing, Email, Administration, Education, IT",9
East Asian and Pacific Affairs (EAP),female,N/A,Gloria Phelps,,13
Legal Adviser (L),female,N/A,Ruth Lee,"Tourism, IT, Climatology, spanish, outlook, communications, Cloud Computing, management, research, Design",23
European and Eurasian Affairs (EUR),female,FS-4,Mary Savoie,"Chinese, Network Security, german",6
Foreign Assistance (F),male,FS 2,  William Favorito     ,Spanish,23
International Organization Affairs (IO),female,N/A,   Marion Landry,"Sharepoint, Foreign Policy, SEO, Outlook, Email, disaster response, Marketing",13
Educational and Cultural Affairs (ECA),male,N/A,Albert Ward,"Research, seo, Disease Response, Government, Social Media, Powerpoint, planning, Management, Network Security, Finance",10
Human Resources (DGHR),male,FS-8,     Jerrold Kerns     ,,17
Foreign Assistance (F),male,N/A,    Michael Ulrich,"Leadership, Sharepoint, Foreign Policy, Chinese, SEO",7
"Arms Control, Verification and Compliance (AVC)",female,FS-1,Janette Kelley     ,"Disaster Response, Engineering, Writing, powerpoint, Healthcare, Finance, japanese, Graphics",24
Inspector General (OIG),male,FS-7,Paul Green ,"French, Budget, Spanish, disease response, visualization, Chinese",23
Foreign Service Institute (FSI),female,FS-8,Peggy Mimes,"Sharepoint, Spanish, Excel, IT, Social Media, Hydrology, Finance, Tourism",25
Near Eastern Affairs (NEA),male,FS-4,   Gerardo Shepherd ,,3
Legislative Affairs (H),male,N/A,Michael Baerga,"Disease Response, german, Training, Cloud Computing, Sharepoint",17
"Management Policy, Rightsizing and Innovation (PRI)",female,N/A,Joanna Shannon,"Visualization, Email, Spanish, Economics, Hydrology, Interagency, SEO, Foreign Policy, Administration, Planning, French, training",15
Policy Planning Staff (S/P),female,GS-11,  Tracey Duran,"Marketing, SEO, Training, healthcare, Tourism, IT, government",24
Global AIDS Coordinator (S/GAC),female,FS-4, Rebecca Sanders,"Administration, Human Resources, sharepoint",13
Foreign Missions (OFM),female,GS-13,Edith Chalepah     ,"German, Marketing, Disaster Response, Network Security, Administration, Social Media, climatology",20
International Organization Affairs (IO),female,GS 7, Mattie Matson,"tourism, hydrology, Design",17
Legislative Affairs (H),male,FS-8,Evan Erickson    ,"Healthcare, Government, sharepoint, German, cloud computing, Editing, Education, Data Analysis, Spanish, Finance",17
Quadrennial Diplomacy and Development Review (QDDR),female,N/A,Carrie Oneill,"Marketing, Cloud Computing, Training, Climatology, Disease Response, management, finance, Research, Japanese, excel, Spanish, human resources",5
Global Criminal Justice (GCJ),female,GS-10,   Somilleda,"disease response, spanish, Excel, email, Climatology, Tourism, budget, Sharepoint, Design, Web Development, Healthcare, Powerpoint",12
Consular Affairs (CA),male,SES-2,William Simmons,"writing, Editing, Cloud Computing, economics, Management",18
Public Affairs (PA),female,N/A,Sally Gregory,"Writing, Climatology, French, Outlook, budget, Engineering, German",4
Comptroller and Global Financial Services (CGFS),male,FS-2,Eisner,Portuguese,11
Overseas Buildings Operations (OBO),female,GS-8,Joyce Gaffney    ,"Communications, Writing, French, Disaster Response, Training, Social Media, Operations, interagency, Education",14
Conflict and Stabilization Operations (CSO),male,FS-6,Casey Fitzhugh,"Cloud Computing, Economics, Human Resources, Healthcare, Administration, French, social media",20
Director General of the Foreign Service and Director of Human Resources (DGHR),male,N/A,  Thomas Shehee     ,"Finance, Social Media, planning, Portuguese, management, Editing",12
Public Affairs (PA),female,FS-2,Edwina Smith,"operations, Disaster Response, Email, Research, management, Graphics",15
European and Eurasian Affairs (EUR),male,N/A,Mark Harris     ,"Web Development, Interagency, Writing",12
Comptroller and Global Financial Services (CGFS),female,FS-7,  Aja Swanson,"excel, SEO, email, IT, Web Development, Human Resources, Engineering, Outlook, Writing, Foreign Policy, budget, Sharepoint",9
"Democracy, Human Rights, and Labor (DRL)",female,FS8,Jude Clark ,"Japanese, Communications",1
European and Eurasian Affairs (EUR),male,FS-1,John Bushaw,"training, SEO, Finance, chinese, Japanese, Climatology, Marketing",12
Budget and Planning (BP),female,FS-9, Sarah Sosa,"human resources, Education, training, IT, budget, Chinese, Social Media",2
Energy Resources (ENR),male,FS-5,    Sun,"Network Security, Training, IT, french",8
Legal Adviser (L),male,N/A,Donald Zak,"Planning, Engineering, Budget, Editing, finance, Communications, management, Web Development, French, marketing",25
Foreign Service Institute (FSI),male,FS-2,   Nickolas Lopez,"Editing, Finance, Disaster Response, Spanish, Portuguese, Sharepoint, IT, web development, Interagency",5
Legal Adviser (L),male,FS-2,William Chon,Budget,3
Conflict and Stabilization Operations (CSO),female,N/A,Rosetta Keefe,"excel, Tourism, Engineering, Writing, Research, Hydrology, Leadership, human resources",11
Diplomatic Security (DS),female,GS-9,Barbara Reker,editing,10
International Narcotics and Law Enforcement Affairs (INL),male,FS-9,Charles Mckenzie,,6
Legislative Affairs (H),female,GS-11,     Margaret Taylor,Administration,3
South and Central Asian Affairs (SCA),male,N/A,Jack Wright    ,"Cloud Computing, Hydrology, planning, Network Security, Interagency, Human Resources, Editing, Portuguese, Healthcare, Disease Response, Data Analysis, management",22
Economic and Business Affairs (EB),female,N/A,Martha Varley,"Economics, writing, Healthcare, operations, Government, Disease Response, Web Development, Tourism, Climatology, Research",21
Policy Planning Staff (S/P),female,FS5,Megan Wallace,"education, Visualization, Portuguese, Economics, Graphics, Web Development, German, marketing, Human Resources, SEO, Training, Writing",23
Diplomatic Security (DS),male,GS-14,Tyson Sauer,"Administration, Research, Communications, email, Marketing",23
Intelligence and Research (INR),female,GS-15,Noreen Lamey,"Graphics, Leadership, SEO, Data Analysis, Human Resources, Administration, Management, Education, Japanese, Marketing, Government",10
African Affairs (AF),male,N/A,James Bouthillette,Sharepoint,8
International Information Programs (IIP),male,N/A, Humberto Davidson  ,Portuguese,14
Chief Information Officer (CIO),male,FS-3,Jeff Armwood    ,"cloud computing, Chinese, Administration, German, Powerpoint, visualization, portuguese, Engineering, Outlook, French, Climatology",7
Executive Secretariat (S/ES),male,FS-9,Danny Leonardo,"Spanish, climatology, Budget, IT, Web Development, Editing, Operations",15
Economic and Business Affairs (EB),male,GS-8,   Bowthorpe,"German, graphics, Email, Communications",1
Medical Services (MED),female,GS-12,Elizabeth Wright,"Budget, graphics, visualization, Human Resources, Disaster Response, Healthcare, Outlook, Social Media",4
Information Resource Management (IRM),female,FS-3,  Katherine Huffman     ,"Graphics, French, Marketing, Economics, Powerpoint",5
Diplomatic Security (DS),female,GS-14,  Brenda Riles ,"engineering, Social Media, Email, Hydrology, IT",7
Conflict and Stabilization Operations (CSO),female,FS 6, Belva Zeitler,"Tourism, Chinese, Training",21
Medical Services (MED),female,N/A,Ester Little   ,"administration, network security, it, Education, Training, Design, Research, Sharepoint",12
Foreign Assistance (F),male,FS 2,Edward Dillard,"Government, Disease Response, Social Media",9
Conflict and Stabilization Operations (CSO),male,N/A,Thomas Wells    ,"Engineering, training, Operations, Cloud Computing, Government, Human Resources, communications, economics, management, Data Analysis, leadership, Climatology",11
Diplomatic Security (DS),female,GS13,Mary Kiper,"disease response, Social Media, Spanish, Marketing, design, Email, government, data analysis, SEO",10
International Security and Nonproliferation (ISN),male,GS-8, Elvin,SEO,1
European and Eurasian Affairs (EUR),female,GS-13,Susie Myers,"Planning, engineering, Editing, social media, network security, Foreign Policy, Chinese, Economics, Research, Administration, outlook, Leadership",5
Western Hemisphere Affairs (WHA),male,N/A,Bobby Burger,"Powerpoint, Disease Response, Web Development, Education, excel, Visualization, French, sharepoint",10
International Security and Nonproliferation (ISN),male,FS-6,Joseph Davis ,,15
International Information Programs (IIP),female,N/A,Anissa Sanchez     ,"Japanese, Web Development, Chinese, Finance, design, IT, Cloud Computing, Operations",12
